,정답,배점,표준풀이시간(초)
0,4,10.0,4
1,45,10.0,45
2,3,10.0,3
3,5,10.0,5
4,4,10.0,4
5,1,10.0,1
6,-2,10.0,-2
7,5,10.0,5
8,30,10.0,30
9,29,10.0,29
